# Field minima and maxima
# Time       	field        	min          	position(min)	processor    	max          	position(max)	processor    
0.00119048   	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.00261054   	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.00431218   	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.00635059   	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.00877121   	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0116686    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0150928    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0191125    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0238727    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0295543    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0361099    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0439142    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0530957    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0628893    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0726829    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0824765    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0922702    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.102064     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.111857     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.121651     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.131445     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.141238     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
