# Stratification = Very stable
# veer z/zRef=20[m]
-8.88e-16 2
5.08854 2.96326
7.19998 4.00448
9.45163 4.89879
13.7953 6.00217
17.954 6.88183
# Stratification = Stable
# veer z/zRef=20[m]
-8.88178e-16 2
3.57695 2.95679
4.31625 4.00548
5.42837 4.9002
8.91164 5.99688
12.3262 6.87681
# Stratification = Slightly stable
# veer z/zRef=20[m]
-8.88e-16 2
2.60026 2.94315
2.75811 4.00603
3.12604 4.901
5.6326 5.99104
8.39595 6.87119
# Stratification = Neutral
# veer z/zRef=20[m]
1.89764 4.00633
1.90249 2.96437
2.05627 4.90138
4.12094 5.99856
6.69821 6.88577
# Stratification = Slightly unstable
# veer z/zRef=20[m]
-8.88e-16 2
1.75811 4.00638
2.06528 2.96431
2.07953 4.90137
4.05117 5.99858
6.2796 6.88592
# Stratification = Unstable
# veer z/zRef=20[m]
-8.88e-16 2
1.3395 4.00652
1.83272 2.96439
1.89348 4.90144
4.16745 5.99854
6.41914 6.88587
