# Stratification = Very stable
# k/k@(zRef=40m) z/zRef=20[m]
5.050476682 2.0032
4.708841902 2.94998
4.016252759 4.00501
3.328857722 4.90112
3.317729463 6.00696
3.383228433 6.88859
# Stratification = Stable
# k/k@(zRef=40m) z/zRef=20[m]
4.24970097 2.0032
4.149517291 2.94998
3.859303812 4.00501
3.463663054 4.90112
3.124025564 6.00696
3.103046306 6.88859
# Stratification = Slightly stable
# k/k@(zRef=40m) z/zRef=20[m]
3.897762917 2.0032
3.816771933 2.94998
3.707861851 4.00501
3.54779421 4.90112
3.310490034 6.00696
3.179855803 6.88859
# Stratification = Neutral
# k/k@(zRef=40m) z/zRef=20[m]
3.788680963 2.0032
3.715671223 2.94998
3.59401204 4.00501
3.465226229 4.90112
3.251834724 6.00696
3.130716879 6.88859
# Stratification = Slightly unstable
# k/k@(zRef=40m) z/zRef=20[m]
4.038160328 2.0032
4.012134117 2.94998
3.768972354 4.00501
3.6049338 4.90112
3.364303911 6.00696
3.252063911 6.88859
# Stratification = Unstable
# k/k@(zRef=40m) z/zRef=20[m]
4.198358216 2.0032
4.008932555 2.94998
3.752031 4.00501
3.566299621 4.90112
3.274208456 6.00696
3.154213326 6.88859
