Time(s), massflow(kg/s), temperature(K), massfractionh2o(), massfractionnh3(), massfractionair(), heatratio(), ptot(Pa)
0,0,632.36997502323,0.033405082879638,0,0.966594917120362,0,226041.50885122
0.001,0,631.901346644677,0.033370285467498,0,0.966629714532502,0,225999.900064424
0.002,0,631.472403471796,0.033336763246274,0,0.966663236753726,0,225979.994105371
0.003,0,631.087316385897,0.033304884163242,0,0.966695115836758,0,225979.392192801
0.004,0,630.750350929119,0.033274957572388,0,0.966725042427612,0,225997.064438216
0.005,0,630.465542576512,0.033247259665055,0,0.966752740334946,0,226032.497939271
0.006,0,630.236500102407,0.033222040022136,0,0.966777959977864,0,226085.346578657
0.007,0,630.0662738654,0.033199522419865,0,0.966800477580136,0,226155.268055305
0.008,0,629.957264057339,0.033179903679275,0,0.966820096320725,0,226241.846826393
0.009,0,629.911150125501,0.03316335186401,0,0.96683664813599,0,226344.553126257
0.01,0,629.928835206545,0.033150004310948,0,0.966849995689052,0,226462.719686236
0.011,0,630.010404603468,0.033139965744998,0,0.966860034255002,0,226595.528761865
0.012,0,630.155096595076,0.033133306610649,0,0.966866693389351,0,226742.003877144
0.013,0,630.361288982672,0.033130061743361,0,0.966869938256639,0,226901.007358802
0.014,0,630.626501560759,0.03313022946147,0,0.96686977053853,0,227071.241970752
0.015,0,630.947415729769,0.03313377114458,0,0.96686622885542,0,227251.256838656
0.016,0,631.319913194157,0.033140611377877,0,0.966859388622123,0,227439.458617
0.017,0,631.739130244925,0.033150638634113,0,0.966849361365887,0,227634.125319708
0.018,0,632.199531110648,0.033163706579767,0,0.966836293420234,0,227833.42580538
0.019,0,632.694995653632,0.033179635957359,0,0.966820364042641,0,228035.442417808
0.02,0,633.218324552194,0.033198200995038,0,0.966801799004963,0,228237.921666854
0.021,0,633.760469618073,0.033219081817669,0,0.966780918182331,0,228437.867924831
0.022,0,634.311515117119,0.033241888589206,0,0.966758111410794,0,228632.069007259
0.023,0,634.860854324652,0.03326617011871,0,0.96673382988129,0,228817.167862861
0.024,0,635.397312048904,0.033291413846965,0,0.966708586153035,0,228989.681659809
0.025,0,635.909295863523,0.033317046568296,0,0.966682953431704,0,229146.041989212
0.026,0,636.384970554164,0.033342436079224,0,0.966657563920776,0,229282.652094185
0.027,0,636.812923653251,0.033366952376519,0,0.966633047623481,0,229395.559096242
0.028,0,637.184336549665,0.033390187484319,0,0.966609812515681,0,229479.354424768
0.029,0,637.473812303327,0.033410683420965,0,0.966589316579035,0,229523.341349649
0.03,0,637.645817047133,0.033426262434424,0,0.966573737565576,0,229513.241074671
0.031,0,637.708442526631,0.033436698672234,0,0.966563301327766,0,229459.006568981
0.032,0,637.670026736965,0.033441920338422,0,0.966558079661578,0,229368.450501546
0.033,0,637.537407915595,0.033441867061516,0,0.966558132938484,0,229247.432701709
0.034,0,637.315931234672,0.0334364531264,0,0.9665635468736,0,229100.558796652
0.035,0,637.009909644082,0.033425599201447,0,0.966574400798553,0,228931.290979921
0.036,0,636.624351494602,0.033409309514806,0,0.966590690485194,0,228743.112310263
0.037,0,636.17284489194,0.033387961705402,0,0.966612038294598,0,228540.889183924
0.038,0,635.650892701187,0.033361264156679,0,0.966638735843321,0,228323.029785437
0.039,0,635.092204161421,0.033330931076248,0,0.966669068923752,0,228110.66503617
0.04,0,634.541855261799,0.033299526104874,0,0.966700473895126,0,227925.399268234
0.041,0,634.020675624958,0.033268560188286,0,0.966731439811714,0,227772.238067726
0.042,0,633.534512207878,0.033238751241946,0,0.966761248758054,0,227647.96177375
0.043,0,633.083630645304,0.033210438065138,0,0.966789561934862,0,227547.578619456
0.044,0,632.666682134696,0.033183789665238,0,0.966816210334762,0,227466.524465026
0.045,0,632.281966333352,0.033158891899939,0,0.966841108100061,0,227401.05382573
0.046,0,631.927760430586,0.03313578370348,0,0.96686421629652,0,227348.130844786
0.047,0,631.602384214019,0.033114473359066,0,0.966885526640935,0,227305.267773997
